ins	min_unit	lanes	read_type	read_length	reads_per_lane	bases_per_lane	cost_per_lane	last_updated
NovaSeq 6000 S4	Flow cell	4	2	200	2000		5237.5	2020-02-14
NovaSeq 6000 S4	Flow cell	4	2	300	2000		6037.25	2020-02-14
NovaSeq 6000 S4	Lane	4	2	200	2000		5537	2020-02-14
NovaSeq 6000 S4	Lane	4	2	300	2000		6337	2020-02-14
NovaSeq 6000 S2	Flow cell	2	2	100	2000		5529.5	2020-02-14
NovaSeq 6000 S2	Flow cell	2	2	200	2000		7564	2020-02-14
NovaSeq 6000 S2	Flow cell	2	2	300	2000		8872.5	2020-02-14
NovaSeq 6000 S2	Lane	2	2	100	2000		5710	2020-02-14
NovaSeq 6000 S2	Lane	2	2	200	2000		7745	2020-02-14
NovaSeq 6000 S2	Lane	2	2	300	2000		9053	2020-02-14
NovaSeq 6000 S1	Flow cell	2	2	100	650		2390	2020-02-14
NovaSeq 6000 S1	Flow cell	2	2	200	650		3204	2020-02-14
NovaSeq 6000 S1	Flow cell	2	2	300	650		3843.5	2020-02-14
NovaSeq 6000 S1	Lane	2	2	100	650		2571	2020-02-14
NovaSeq 6000 S1	Lane	2	2	200	650		3385	2020-02-14
NovaSeq 6000 S1	Lane	2	2	300	650		4024	2020-02-14
NovaSeq 6000 SP	Flow cell	2	2	100	325		1314.5	2020-02-14
NovaSeq 6000 SP	Flow cell	2	2	300	325		2244.5	2020-02-14
NovaSeq 6000 SP	Flow cell	2	2	500	325		3204	2020-02-14
NovaSeq 6000 SP	Lane	2	2	100	325		1495	2020-02-14
NovaSeq 6000 SP	Lane	2	2	300	325		2425	2020-02-14
NovaSeq 6000 SP	Lane	2	2	500	325		3385	2020-02-14
